,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
29,0.41412732,-0.15655479,0.23260769,0.04454568,-0.46314517,-0.037137594,0.48371625,0.14693443,0.09281178,0.31507853,0.889618,-0.08546308,0.36266947,-0.3673899,-0.529631,0.49996346,0.27663964,0.38870317,-0.5522851,0.25187224,-0.09015623,0.24557559,0.60741115,-1.0253958,-0.031261243,0.62105286,-0.114733785,0.45810932,-0.47529233,0.16269504,0.0027907102,-0.19397914
32,-0.0054053944,-0.30011234,-0.054819457,0.29411763,-0.51573515,0.20143709,0.6558895,0.385961,0.19209598,0.31201214,1.1035455,0.13989422,0.51012284,-0.25327605,-0.5853473,0.42804578,0.26549044,0.39936614,-0.11514966,0.27124202,0.10430088,0.51946723,0.31426913,-0.822479,-0.21057038,0.8175297,0.1800061,0.07797418,-0.08994591,0.6977898,0.032748464,0.13502054
21,-0.15833539,-0.33851746,0.6588963,0.19068617,0.17349057,-0.026467778,0.26425388,0.017444132,-0.08425322,0.09592872,-0.013013321,-0.47513244,0.19206303,-0.1798475,0.42934555,-0.46578148,-0.40598235,0.08531929,0.0027668905,0.6400019,0.19891946,0.32898176,0.32776612,-0.041433953,0.011808065,-0.06410383,0.10781955,0.10594605,0.056280944,-0.45576128,-0.337682,0.054759324
36,-1.0626751,-0.090500705,1.571829,-0.073481776,-0.7466033,-1.7123207,1.6844226,2.071597,-0.8597501,0.05881753,0.12360258,0.30135363,-0.17060295,-0.36526752,0.7804759,-0.2610981,-0.13945018,-0.17171577,1.1554301,0.1403437,-0.11936212,1.0889722,0.74481803,-0.73663414,0.051158976,0.022920953,-1.1906404,1.6812607,0.47613183,-1.2195181,-0.033642866,0.16922979
28,-0.41736874,-0.19028358,1.011167,-0.22945966,0.13169777,-0.21994047,0.18905929,0.22854617,0.05265077,-0.45008904,-0.21027887,-0.30503944,0.08546534,-0.24625021,-0.026821299,-0.37290245,-0.13096316,-0.08308877,0.6796421,0.64687043,-0.15171666,0.24287377,0.43698865,0.123807654,-0.19101393,0.21278411,-0.22074148,-0.024321457,0.071909964,-0.43068853,0.06157015,0.010235555
6,-0.4761957,-0.1633615,-0.007764019,-0.10584738,-0.3103661,-0.020463767,0.35827908,0.32399523,-0.025235688,-0.00037577518,0.7225367,-0.20101245,0.83095485,-0.4233561,-0.045095734,-0.06893973,0.25567916,0.31764114,-0.15619989,0.15780614,-0.8165714,0.35070622,-0.07770369,-0.27474287,-0.47548115,0.26073137,0.10690706,0.51957226,-0.55753875,0.40319088,0.010359905,-0.14627479
39,-0.7409773,-0.19724739,0.4245771,0.07762988,-0.4603132,0.02551895,0.5026278,-0.35440326,0.13337734,-0.04379685,0.13931133,-0.122821696,0.16458793,-0.47771135,0.31220925,-0.28100333,-0.060199134,0.29624698,0.7529906,0.26675388,-0.26496837,-0.11732654,0.21991001,0.30154732,0.10073464,0.12518352,0.46900296,-0.01898069,-0.02053923,-0.73522526,0.14045382,-0.19539332
23,-0.7650212,-0.013544589,0.34012228,0.2512397,-0.47310433,0.014089161,0.64430517,-0.2221082,-0.05802886,0.11302309,-0.07033849,-0.16704099,0.35017774,-0.49945834,0.115645126,-0.43487957,0.14060535,-0.07066467,0.5716163,-0.072040476,-0.25051484,0.32635418,0.08328497,0.13079111,-0.20147756,-0.32898727,0.3950995,0.0915144,-0.17712286,-0.10946131,0.04060402,-0.10092622
4,-0.36815682,-0.24156882,0.7236671,-0.036838498,-0.09796508,-0.0072133383,0.45870665,0.0546387,0.06381344,-0.30625728,-0.06816442,-0.321015,0.24829707,-0.16375688,0.15482597,-0.124678314,-0.23000921,0.028397163,0.74157494,0.30912235,-0.113555804,0.13202807,0.3305702,0.24625033,-0.1366981,0.14089404,0.11101545,-0.14580244,-0.06326194,-0.33327293,0.15780205,-0.15918154
22,-0.37090215,-0.21840802,0.040362984,0.04938242,-0.5482105,0.023170983,0.16252986,0.31745693,0.21287237,-0.004727296,0.66549796,0.045534756,0.5878832,-0.3248193,-0.2034226,-0.054747056,0.31429598,0.40343672,-0.3565485,0.0476375,-0.52344924,0.3501318,0.12671925,-0.68128073,-0.51747674,0.43412578,-0.060313262,0.3836727,-0.5144077,0.39929956,-0.18179448,0.05407118
17,-0.8271381,-0.4084615,0.54037756,0.35950854,-0.1675181,0.10994739,0.1917201,0.36053872,0.060928218,0.41277736,-0.17605853,-0.58716387,0.21185441,0.020372279,-0.26906008,-0.53339714,0.16188625,-0.39189428,0.28644806,-0.07676812,-0.04330911,0.1831384,0.2039126,0.37138733,-0.28917328,0.08765557,-0.014860238,0.20615314,-0.43942052,-0.2740478,0.09407512,0.43428975
5,-0.6181438,0.3381226,0.56119734,0.13330218,-0.18064848,0.17803057,-0.013087066,1.053609,0.2775125,-0.18416731,-0.41521513,-0.0044531836,0.4139192,-0.35301548,0.4700331,-0.20094928,-0.3375391,0.4105653,0.34733635,0.81189215,0.076921165,0.0036785936,0.21504843,0.21964419,0.09503302,0.26815346,-0.016486235,0.0865777,0.00096079917,-0.6699475,0.28500414,0.13807712
