,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
14,-0.032113984,-0.19701746,0.069490016,0.0725022,-0.0067572906,-0.12995043,-0.11204101,0.04037759,0.0618938,-0.069439515,0.23422322,-0.20465428,0.20003752,0.12468914,-0.18675736,0.08625898,-0.34263456,0.021764776,-0.090884194,-0.09372471,0.12225838,0.18038782,0.32120892,0.122447826,-0.032024473,0.3728363,-0.14856207,-0.14793892,-0.2012001,-0.037410256,-0.15877548,-0.1566126,-0.37157246,-0.3021865,0.06847246,0.17279834,0.2222231,0.17302361,0.43349484,-0.13260728,-0.06380995,0.068511344,-0.13123536,-0.20346639,0.19414449,-0.03788951,0.053853538,-0.07636609,0.028261894,0.05024093,-0.079714574,-0.044126097,-0.070468985,0.17596175,0.13163546,0.14930943,0.14662482,-0.10579229,-0.17259881,0.08548457,-0.023166617,-0.10606289,-0.19306608,-0.04388539
36,-0.5961392,-0.4196746,0.7686955,-0.06666815,-0.3114137,-0.991749,-0.34189498,0.1809837,0.26913187,-0.52228796,0.41375297,0.31142393,0.4236768,0.06579028,-0.42701292,-0.7839519,-0.21998855,0.64053833,0.011095213,-0.62426496,-0.3401511,0.25049317,-0.16441953,0.22418106,-0.22391526,0.8581514,-0.74976087,0.30445397,-0.48468852,-0.6470696,-0.42613307,-0.42526725,-0.22810632,-0.42736393,-0.19644038,0.2575796,0.7265328,-0.13961974,-0.010669954,-0.08630487,0.4580061,0.06444285,-0.86707,-0.50261784,1.0889097,-0.027418943,-0.4345583,0.084268555,0.9807875,-0.49750707,-0.32137167,0.646617,-0.9689036,0.4694433,0.50784427,0.334515,0.2679927,-0.3079797,-0.33159578,1.1363958,-0.18271403,0.25855383,-1.0668441,0.20533194
21,-0.083446994,-0.105623685,0.17058074,0.09209831,-0.19710134,-0.21054555,0.07190207,-0.15281992,0.10116085,-0.10402109,0.121914625,-0.15323843,-0.09454722,0.11461998,-0.18392538,0.26256925,-0.21763828,-0.18001853,-0.12011313,0.021217063,0.17125928,0.13074666,0.44419023,0.10340037,0.09984731,0.27198076,-0.07953071,-0.003096899,-0.1465145,-0.21513791,-0.06542245,-0.21343315,-0.61114246,-0.21050945,-0.10373006,0.24212354,0.35928464,0.23904142,0.5099726,-0.014615454,0.03769279,0.20909189,-0.008508057,-0.44602928,0.24091244,-0.05622899,0.20306443,0.08826873,-0.012408964,-0.20287132,-0.21354909,-0.046383165,-0.16255094,0.27446622,0.21280058,0.15330084,0.25710645,0.022804117,-0.31236377,0.140186,-0.014471098,-0.16639225,-0.06833758,0.07649383
32,-0.24447174,0.08190832,0.08435675,0.08087043,-0.21771644,-0.008379335,0.21921983,0.001078436,-0.3800399,-0.043311026,0.63086385,0.37487787,-0.19490604,-0.18086718,0.021435471,-0.52670616,-0.12251144,0.14171828,0.20741679,0.08026581,0.07045378,-0.4711622,0.14299646,-0.014555157,0.09625695,0.047812723,0.008416339,-0.10638904,0.021866675,-0.36362275,0.22169636,-0.055150744,-0.22862169,-0.23196636,0.07451496,0.5298507,-0.37456155,0.060062848,0.06026234,0.0012663634,0.58348453,0.5232852,-0.34351182,-0.16359368,-0.07183095,-0.29537532,-0.31895295,-0.14731398,0.1498261,-0.16517228,0.6011874,0.15082149,0.42059344,0.029150851,0.32058343,-0.24568215,-0.32393393,-0.1873769,0.4015284,0.0048863515,0.58286494,0.114983425,0.092072606,0.5853356
28,-0.05522269,-0.1924334,0.17455684,-0.17831838,-0.22714333,-0.4033351,-0.21227501,-0.11446423,0.13676432,-0.16034043,0.2533904,0.018971192,0.37487477,-0.065379046,-0.23935461,0.15473194,-0.23435704,0.11275847,-0.008061274,0.11921945,0.09957711,0.026223479,0.334793,0.09167614,0.07810353,0.2290273,-0.13053873,-0.35959828,-0.038115326,-0.15035424,-0.08922265,0.02817677,-0.48102793,-0.067084886,0.15576383,0.2605928,0.4049289,0.10098441,0.31138992,0.2138641,0.27241775,0.12710951,0.04375309,-0.0059607513,0.3855982,-0.09026773,0.12928177,-0.24832848,0.17788492,-0.076147564,-0.2287943,0.17891984,-0.052653495,0.13975891,-0.0032722247,0.3670652,0.31091934,0.29989982,-0.05477133,-0.075990334,0.15109658,-0.28270283,0.080305405,0.08362816
6,0.07707095,-0.023626264,0.2562143,-0.26287022,-0.20739399,-0.26739767,-0.034499295,0.25446433,-0.30486572,0.058288816,0.057342023,0.15353025,-0.24744433,-0.07058951,0.18951918,-0.30313492,0.057911426,-0.017711937,0.18003191,-0.006175508,-0.032594495,-0.16378433,0.029501993,0.36253303,0.14145821,0.21889679,-0.2143481,-0.0015909512,0.312915,-0.30462006,-0.13966915,0.1606538,-0.21294273,-0.18166116,0.10779437,0.31769782,-0.35491207,0.2308957,0.34285805,-0.035154033,0.40680817,0.09199272,0.2824848,-0.13859025,-0.34041926,-0.1909784,-0.21947217,-0.13888967,0.1987507,-0.007996866,0.41783264,-0.0023802875,0.2855624,0.1528863,0.29997244,0.38784465,-0.2943633,-0.519458,0.24783276,-0.21815763,0.39911744,0.15125565,-0.104327194,0.5632657
39,-0.04755953,-0.2232844,-0.08727838,-0.1415864,0.046034653,-0.2131015,-0.19306459,-0.16820836,0.12281289,-0.044316113,0.35266557,-0.0049624722,0.2226116,0.104604445,-0.088059664,0.16754898,-0.2974097,-0.051401183,-0.03885986,-0.001999507,-0.12131214,0.11358348,0.11445611,0.37113634,-0.10765363,0.26531315,-0.18822116,-0.3771269,-0.11332751,-0.16810532,-0.14741208,-0.31827232,-0.38641325,-0.5031693,0.23271762,0.29183218,-0.015303578,-0.06656184,0.5218935,0.23699532,-0.18680939,-0.09755699,-0.21156023,-0.29107904,0.30644456,-0.07594981,-0.05262845,-0.027209254,0.21046185,0.29995972,-0.07784581,0.30660954,0.11449747,-0.1204829,-0.12788096,0.6271273,0.27508765,0.047767963,0.110500135,0.41517484,-0.02334295,-0.06826024,-0.19768748,0.16005225
4,-0.13881722,-0.06381662,0.18557659,-0.0014120867,-0.19502085,-0.19459605,-0.09687941,-0.15475585,0.053701993,0.03663501,0.14473322,-0.012898963,0.30163437,0.18482143,-0.13947213,0.28742477,-0.26729208,0.13811171,-0.011006622,0.12883018,-0.105513856,0.17302153,0.32493263,0.16695356,0.09417614,0.16395742,-0.093009494,-0.33104235,-0.07814717,-0.1265518,-0.20355035,-0.13555919,-0.4723796,-0.353852,0.2517889,0.18467277,0.05595657,-0.0014845193,0.30712065,0.22819589,0.26793304,-0.0095431395,-0.036587015,-0.15712465,0.335386,0.037384626,-0.01946175,-0.23244114,0.11445938,0.077930585,-0.17832051,0.13766032,0.053157035,0.004673339,0.039550927,0.3314083,0.13696073,0.15176496,0.12892398,0.013081346,0.015738599,-0.25902024,-0.06521629,0.13833874
23,0.11362072,-0.16431877,-0.021742877,-0.16097155,0.030060394,-0.043698158,-0.32133168,0.11033866,-0.08111203,0.3390272,0.17713998,-0.22243987,0.18152775,0.11772172,0.056361407,0.12761737,-0.075181596,0.123675376,-0.09729508,0.055920828,-0.07072431,0.21433128,0.011703353,0.32780513,-0.089797765,0.34014305,-0.26935992,-0.4351876,-0.010049816,-0.041231655,-0.3624374,-0.08564215,-0.32230562,-0.41985524,0.1212955,0.12471866,0.08999458,0.17909935,0.29232126,0.058517806,0.09556835,-0.1328109,-0.021995138,-0.23706858,0.04270377,-0.1330795,-0.41109154,-0.21655528,0.16841641,0.09468014,0.24611689,-0.06495666,0.24278153,0.10645207,0.039817072,0.53903836,0.19209884,-0.2646659,-0.01257562,0.21087122,0.017554225,-0.060153786,-0.30710307,0.101970956
22,0.06132738,-0.011356546,0.09556414,-0.10377472,-0.111463234,-0.17644633,0.12704006,0.25381786,-0.36739054,-0.039370775,0.23957239,0.16426843,-0.07451205,-0.110702306,0.19629452,-0.29004386,0.069170855,0.10498133,0.24173582,-0.016333086,-0.11345194,-0.1514232,0.09285249,0.20558558,0.0821464,0.30343422,-0.05096167,0.025653776,0.13038822,-0.30231377,-0.0071641738,0.07320495,-0.18362086,-0.21812053,-0.10951108,0.31534916,-0.27455536,0.086614855,0.17145158,-0.15542653,0.34412748,0.24637687,0.016384007,-0.104694836,-0.24064851,-0.13150658,-0.2595936,-0.272287,0.20921582,0.020020716,0.57442135,0.040378276,0.17322335,0.23616935,0.2962975,0.13895492,-0.22641334,-0.511825,0.212594,-0.14382428,0.43087763,0.18041368,-0.06908147,0.5220163
