,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,0.2324014,-0.20935278,0.14902538,0.4236468,1.0226359,-0.68999946,0.69567466,-0.0992206,0.16983272,0.23391563,0.14753003,0.6612205,-0.33177027,-0.35551438,-0.24184263,-0.39907262
23,0.731711,-0.0349783,0.3756827,0.37695763,0.36036596,-0.6176208,0.6853928,-0.28987664,0.16405903,-0.09996831,-0.3097718,0.5871593,-0.3169894,-0.28677973,-0.291365,-0.5830687
4,0.07509967,-0.2208418,0.12705474,0.19064873,0.55030864,-0.39591664,0.7979388,-0.2706639,-0.15647955,0.126714,0.39581946,0.15062836,-0.23895699,-0.7484931,-0.31205618,-0.2603138
22,0.20181744,-0.16925047,0.40395498,-0.7339139,0.20311928,0.05193014,0.21299984,0.7020952,0.14189649,-0.93910277,-0.2291121,0.06500258,0.49504876,-0.32512248,-1.0762373,-0.5299945
17,0.05438429,-0.0621178,0.99257857,0.25173545,0.14942597,0.2106468,0.8498077,-0.31337276,0.24159318,-0.009689431,-0.41616982,0.47238818,0.11348878,-0.97920793,0.1197027,-0.25081983
5,-0.22386147,-0.88123935,0.47675914,0.7586167,0.4105801,-0.8963768,0.48731834,-0.36429265,0.7663946,0.21303307,0.4670848,-0.5699567,0.120517455,-0.61690694,-0.00036961838,-0.3937613
24,-0.24048428,-0.39615077,0.0756372,0.19540729,0.65619,-0.75113624,0.9100975,-0.57464004,-0.18926764,-0.14536007,0.38440442,0.094765574,-0.06407883,-0.7442226,-0.036925428,-0.3223759
3,0.3162543,-0.2841429,0.7385012,-0.5428414,0.41670603,-0.13785128,0.15776135,0.42949405,-0.1539363,-0.95122063,-0.41587982,0.60752934,0.44986367,-0.349317,-0.6277135,-0.42183223
13,0.21975903,0.17719364,0.815912,-0.28505147,0.2574924,-0.55017805,-0.31411946,0.89569116,0.6096705,-0.81895167,0.18034837,-0.047583073,0.7933432,-0.47034803,-0.3732604,-0.54427254
33,0.39325076,-0.27324554,0.6015054,0.27437016,-0.25209558,-0.39587924,0.27986726,-0.53250843,0.21904324,0.13616417,-0.09886005,0.8018865,0.2629498,-0.6455307,-0.34477282,-0.5664376
